Congener,MW.PCB,nOrtho.Cl,H0,H0.error,Kow,Kow.error
PCB1,188.644,1,-3.526,0.662,4.46,3.20E-01
PCB2,188.644,0,-3.544,0.662,4.69,3.20E-01
PCB3,188.644,0,-3.562,0.662,4.69,3.20E-01
PCB4,223.088,2,-3.483,0.662,4.65,3.20E-01
PCB5,223.088,1,-3.622,0.662,4.97,3.20E-01
PCB6,223.088,1,-3.486,0.662,5.06,3.20E-01
PCB7,223.088,1,-3.424,0.662,5.07,3.20E-01
PCB8,223.088,1,-3.518,0.662,5.07,3.20E-01
PCB9,223.088,1,-3.49,0.662,5.06,3.20E-01
PCB10,223.088,2,-3.373,0.662,4.84,3.20E-01
PCB11,223.088,0,-3.537,0.662,5.28,3.20E-01
PCB12+13,223.088,0,-3.595,0.662,5.29,3.20E-01
PCB14,223.088,0,-3.376,0.662,5.28,3.20E-01
PCB15,223.088,0,-3.649,0.662,5.3,3.20E-01
PCB16,257.532,2,-3.6,0.662,5.16,3.20E-01
PCB17,257.532,2,-3.428,0.662,5.25,3.20E-01
PCB18+30,257.532,2,-3.495,0.662,5.24,3.20E-01
PCB19,257.532,3,-3.355,0.662,5.02,3.20E-01
PCB20+28,257.532,1,-3.544,0.662,5.67,3.20E-01
PCB21+33,257.532,1,-3.62,0.662,5.6,3.20E-01
PCB22,257.532,1,-3.719,0.662,5.58,3.20E-01
PCB23,257.532,1,-3.497,0.662,5.57,3.20E-01
PCB24,257.532,2,-3.5,0.662,5.35,3.20E-01
PCB25,257.532,1,-3.5,0.662,5.67,3.20E-01
PCB26+29,257.532,1,-3.526,0.662,5.66,3.20E-01
PCB27,257.532,2,-3.393,0.662,5.44,3.20E-01
PCB31,257.532,1,-3.562,0.662,5.67,3.20E-01
PCB32,257.532,2,-3.407,0.662,5.44,3.20E-01
PCB34,257.532,1,-3.375,0.662,5.66,3.20E-01
PCB35,257.532,0,-3.3745,0.662,5.82,3.20E-01
PCB36,257.532,0,-3.473,0.662,5.88,3.20E-01
PCB37,257.532,0,-3.818,0.662,5.83,3.20E-01
PCB38,257.532,0,-3.634,0.662,5.76,3.20E-01
PCB39,257.532,0,-3.524,0.662,5.89,3.20E-01
PCB40+41+71,291.976,2,-3.503,0.662,5.98,3.20E-01
PCB42,291.976,2,-3.592,0.662,5.76,3.20E-01
PCB43,291.976,2,-3.475,0.662,5.75,3.20E-01
PCB44+47+65,291.976,2,-3.638,0.662,5.75,3.20E-01
PCB45+51,291.976,3,-3.45,0.662,5.53,3.20E-01
PCB46,291.976,3,-3.47,0.662,5.53,3.20E-01
PCB48,291.976,2,-3.519,0.662,5.78,3.20E-01
PCB49+69,291.976,2,-3.452,0.662,5.85,3.20E-01
PCB50+53,291.976,3,-3.366,0.662,5.62,3.20E-01
PCB52,291.976,2,-3.496,0.662,5.84,3.20E-01
PCB54,291.976,4,-3.242,0.662,5.21,3.20E-01
PCB55,291.976,1,-3.739,0.662,6.11,3.20E-01
PCB56,291.976,1,-3.82,0.662,6.11,3.20E-01
