SampleID,LocationName,LocationID,SampleDate,Latitude,Longitude,Units,PCB1,PCB2,PCB3,PCB4,PCB5,PCB6,PCB7,PCB8,PCB9,PCB10,PCB11,PCB12+13,PCB14,PCB15,PCB16,PCB17,PCB18+30,PCB19,PCB20+28,PCB21+33,PCB22,PCB23,PCB24,PCB25,PCB26+29,PCB27,PCB31,PCB32,PCB34,PCB35,PCB36,PCB37,PCB38,PCB39,PCB40+41+71,PCB42,PCB43,PCB44+47+65,PCB45+51,PCB46,PCB48,PCB49+69,PCB50+53,PCB52,PCB54,PCB55,PCB56,PCB57,PCB58,PCB59+62+75,PCB60,PCB61+70+74+76,PCB63,PCB64,PCB66,PCB67,PCB68,PCB72,PCB73,PCB77,PCB78,PCB79,PCB80,PCB81,PCB82,PCB83+99,PCB84,PCB85+116+117,PCB86+87+97+108+119+125,PCB88+91,PCB89,PCB90+101+113,PCB92,PCB93+95+98+100+102,PCB94,PCB96,PCB103,PCB104,PCB105,PCB106,PCB107+124,PCB109,PCB110+115,PCB111,PCB112,PCB114,PCB118,PCB120,PCB121,PCB122,PCB123,PCB126,PCB127,PCB128+166,PCB129+138+160+163,PCB130,PCB131,PCB132,PCB133,PCB134+143,PCB135+151+154,PCB136,PCB137,PCB139+140,PCB141,PCB142,PCB144,PCB145,PCB146,PCB147+149,PCB148,PCB150,PCB152,PCB153+168,PCB155,PCB156+157,PCB158,PCB159,PCB161,PCB162,PCB164,PCB165,PCB167,PCB169,PCB170,PCB171+173,PCB172,PCB174,PCB175,PCB176,PCB177,PCB178,PCB179,PCB180+193,PCB181,PCB182,PCB183+185,PCB184,PCB186,PCB187,PCB188,PCB189,PCB190,PCB191,PCB192,PCB194,PCB195,PCB196,PCB197+200,PCB198+199,PCB201,PCB202,PCB203,PCB204,PCB205,PCB206,PCB207,PCB208,PCB209
WCPCB_OR-POH001-20180825.1,Willamette River North,WCPCB_OR-POH001,8/25/18,45.6349878,-122.7867917,pg/L,0.857819905,0.319905213,0.421800948,7.890995261,0.075118483,1.08056872,0.395734597,3.933649289,0.289099526,0.526066351,15.42654028,0.362559242,0.024881517,1.260663507,1.872037915,5.473933649,5.260663507,5.545023697,5.829383886,6.090047393,1.819905213,0.021208531,0.068483412,1.928909953,1.334123223,0.694312796,4.312796209,1.668246445,0.051658768,0.067298578,0.018649289,0.646919431,0.019976303,0.057345972,2.279620853,1.199052133,0.216587678,19.09952607,85.78199052,0.741706161,0.703791469,4.075829384,1.954976303,7.014218009,0.454976303,0.037914692,1.222748815,0.017132701,0.017938389,0.454976303,0.523696682,4.194312796,0.110663507,1.872037915,2.488151659,0.056161137,15.56872038,0.062085308,0.058530806,0.165402844,0.018341232,0.014976303,0.016729858,0.017440758,0.36492891,1.888625592,0.95971564,0.533175355,1.950236967,0.720379147,0.057582938,2.796208531,0.627962085,3.625592417,0.045023697,0.061374408,0.081990521,0.020805687,0.587677725,0.012488152,0.074407583,0.123459716,3.45971564,0.010165877,0.009668246,0.030094787,1.492890995,0.00957346,0.01028436,0.02464455,0.027725118,0.012725118,0.012701422,0.186966825,1.613744076,0.106398104,0.020047393,0.670616114,0.039336493,0.128436019,0.853080569,0.36492891,0.051658768,0.028672986,0.315165877,0.005876777,0.037203791,0.002052133,0.298578199,1.829383886,0.009336493,0.010805687,0.005260664,1.45971564,0.002654028,0.100236967,0.131990521,0.010616114,0.004194313,0.003696682,0.118720379,0.004620853,0.039099526,0.00450237,0.136255924,0.063744076,0.035545024,0.236966825,0.010165877,0.031279621,0.099763033,0.061374408,0.141232227,0.428909953,0.00207346,0.002052133,0.15521327,0.002052133,0.002052133,0.27014218,0.002052133,0.003507109,0.034123223,0.007511848,0.002052133,0.051658768,0.023127962,0.032227488,0.010805687,0.100473934,0.012488152,0.026303318,0.054265403,0.002052133,0.004241706,0.041469194,0.005545024,0.014526066,0.029620853
WCPCB_OR-POH001-20181128.1,Willamette River North,WCPCB_OR-POH001,11/28/18,45.6349878,-122.7867917,pg/L,1.279840849,0.314323607,0.372679045,3.99204244,0.060013263,0.683023873,0.120026525,3.090185676,0.223474801,0.194960212,8.289124668,0.26127321,0.027917772,0.822281167,1.187002653,2.168435013,2.539787798,1.942970822,2.970822281,1.412466844,1.332891247,0.009084881,0.050464191,0.696286472,0.610742706,0.444297082,2.221485411,1.120689655,0.022082228,0.072944297,0.037135279,0.394562334,0.013129973,0.03494695,1.293103448,0.663129973,0.086206897,7.625994695,8.620689655,0.24469496,0.401856764,2.347480106,0.868700265,3.872679045,0.182360743,0.023541114,0.584880637,0.022413793,0.024403183,0.204244032,0.229442971,2.725464191,0.085543767,0.928381963,1.538461538,0.040251989,4.190981432,0.060941645,0.031498674,0.108090186,0.020689655,0.031034483,0.019628647,0.018766578,0.23938992,1.644562334,0.782493369,0.370689655,1.631299735,0.564986737,0.03295756,2.838196286,0.782493369,3.169761273,0.052320955,0.043832891,0.115384615,0.010212202,0.458885942,0.009748011,0.064456233,0.120026525,3.057029178,0.005643236,0.005643236,0.025331565,1.419098143,0.024071618,0.005643236,0.016511936,0.040782493,0.009151194,0.009482759,0.152519894,1.419098143,0.082891247,0.022281167,0.549734748,0.035742706,0.107427056,1.107427056,0.302387268,0.050265252,0.026724138,0.26127321,0.005643236,0.106100796,0.005643236,0.435013263,1.916445623,0.010212202,0.005643236,0.005643236,1.385941645,0.005643236,0.105437666,0.129973475,0.012864721,0.005643236,0.005795756,0.099469496,0.005643236,0.035145889,0.005643236,0.140583554,0.046286472,0.030106101,0.182360743,0.007559682,0.02234748,0.119363395,0.051392573,0.094827586,0.454244032,0.005643236,0.005643236,0.129973475,0.005643236,0.005643236,0.277188329,0.005643236,0.005643236,0.029774536,0.005643236,0.005643236,0.057758621,0.024933687,0.026458886,0.014323607,0.074270557,0.00862069,0.024535809,0.043700265,0.005643236,0.005643236,0.034084881,0.01127321,0.023541114,0.029509284
WCPCB_OR-POH001-20190218.1,Willamette River North,WCPCB_OR-POH001,2/18/19,45.6349878,-122.7867917,pg/L,0.405,0.15,0.34,1.04,0.0222,0.232,0.0895,0.78,0.0595,0.0363,2,0.126,0.0206,0.375,0.275,0.728,0.743,0.383,1.3,2.53,0.395,0.00748,0.0128,0.755,0.249,0.0955,1.01,0.305,0.00745,0.0385,0.0216,0.171,0.00708,0.014,0.56,0.27,0.00209,11.3,59.8,0.103,0.172,1.08,0.268,1.8,0.025,0.00725,0.28,0.0063,0.00653,0.0885,0.00683,1.39,0.034,0.413,0.713,0.021,12.9,0.0265,0.00209,0.0345,0.00685,0.0127,0.00608,0.00605,0.0583,0.543,0.212,0.12,0.445,0.198,0.0103,0.873,0.175,0.848,0.00833,0.00738,0.0136,0.00216,0.157,0.00275,0.0205,0.0383,0.75,0.00209,0.00209,0.00918,0.495,0.00315,0.00209,0.00478,0.0118,0.00433,0.0033,0.0558,0.478,0.0273,0.00673,0.147,0.00893,0.0216,0.205,0.0608,0.0229,0.0116,0.0838,0.00209,0.0228,0.00209,0.106,0.43,0.00209,0.0022,0.00209,0.508,0.00323,0.036,0.0405,0.00209,0.00209,0.00209,0.036,0.00209,0.018,0.00209,0.054,0.0139,0.0122,0.0553,0.00275,0.00658,0.0318,0.018,0.027,0.177,0.00209,0.00209,0.0443,0.00209,0.00209,0.108,0.00209,0.00315,0.0127,0.00209,0.00209,0.046,0.017,0.0233,0.00925,0.0615,0.00443,0.0107,0.0473,0.00209,0.0034,0.0533,0.00925,0.0186,0.0313
WCPCB_OR-POH002-20180824.1,Multnomah Channel,WCPCB_OR-POH002,8/24/18,45.6194068,-122.800134,pg/L,0.649227111,0.220689655,0.252080856,8.228299643,0.028299643,0.508917955,0.18097503,2.016646849,0.133888228,0.520808561,8.656361474,0.174791914,0.02568371,0.898929845,1.291319857,3.733650416,3.258026159,7.419738407,3.234244946,3.258026159,0.986920333,0.022592152,0.043995244,1.969084423,0.692033294,0.604042806,2.449464923,0.965517241,0.02568371,0.055172414,0.030677765,0.482758621,0.021284185,0.037574316,1.81450654,0.827586207,0.112247325,11.53388823,49.94054697,0.449464923,0.51843044,3.020214031,1.617122473,4.922711058,0.756242568,0.015814507,0.829964328,0.015196195,0.015838288,0.325802616,0.356718193,3.162901308,0.102497027,1.286563615,1.895362663,0.05921522,11.72413793,0.060166468,0.011010702,0.12627824,0.015576694,0.046373365,0.014197384,0.014435196,0.273483948,1.717003567,0.939357907,0.430439952,1.755053508,0.701545779,0.039952438,3.115338882,0.687277051,3.781212842,0.066111772,0.071105826,0.129369798,0.026397146,0.461355529,0.004922711,0.063020214,0.146016647,2.92508918,0.004423306,0.003876338,0.033055886,1.293697979,0.017360285,0.006563615,0.021617122,0.024970273,0.005778835,0.005541023,0.211890606,1.669441141,0.097502973,0.023424495,0.696789536,0.051843044,0.126040428,0.991676576,0.401902497,0.053507729,0.031153389,0.316290131,0.007039239,0.106777646,0.002473246,0.387633769,2.190249703,0.014387634,0.014887039,0.007776457,1.588585018,0.002853746,0.094887039,0.130083234,0.01469679,0.004946492,0.004494649,0.133412604,0.005588585,0.038287753,0.005231867,0.156956005,0.064209275,0.036147444,0.261593341,0.010606421,0.03686088,0.107491082,0.068727705,0.157669441,0.487514863,0.002030916,0.002030916,0.184542212,0.002030916,0.002030916,0.413793103,0.003234245,0.004851367,0.029964328,0.009227111,0.002030916,0.051843044,0.023781213,0.037098692,0.012818074,0.105588585,0.012437574,0.028061831,0.064209275,0.002030916,0.003495838,0.032818074,0.008894174,0.017027348,0.029964328
WCPCB_OR-POH002-20181130.1,Multnomah Channel,WCPCB_OR-POH002,11/30/18,45.6194068,-122.800134,pg/L,0.832223702,0.261651132,0.290945406,2.06391478,0.051864181,0.40412783,0.091877497,1.790945406,0.145805593,0.091211718,6.857523302,0.167776298,0.047403462,0.575898802,0.812250333,1.225033289,1.704394141,1.051930759,2.143808256,1.03861518,0.85885486,0.012316911,0.030292943,0.531291611,0.406125166,0.236351531,1.584553928,0.785619174,0.019241012,0.056391478,0.030026631,0.286284953,0.017310253,0.023568575,0.838881491,0.472037284,0.071238349,3.988015979,6.145139814,0.151131824,0.273635153,1.531291611,0.549933422,2.669773635,0.113182423,0.025832224,0.452729694,0.022103862,0.024101198,0.147802929,0.168442077,2.037283622,0.064181092,0.68575233,1.125166445,0.027896138,2.909454061,0.050066578,0.017909454,0.071904128,0.020439414,0.036218375,0.019440746,0.019241012,0.190412783,1.278295606,0.604527297,0.297603196,1.191744341,0.41677763,0.023302264,2.137150466,0.56391478,2.343541944,0.029560586,0.040279627,0.066111851,0.014713715,0.344873502,0.005679095,0.060319574,0.099866844,2.310252996,0.005679095,0.005679095,0.023834887,1.111850866,0.022703063,0.005679095,0.018908123,0.026830892,0.005679095,0.005679095,0.127163782,1.058588549,0.074567244,0.013981358,0.415446072,0.024633822,0.07723036,0.832223702,0.203062583,0.052796272,0.019107856,0.201065246,0.005679095,0.071238349,0.005679095,0.299600533,1.478029294,0.010319574,0.005679095,0.005679095,1.085219707,0.006537949,0.083888149,0.093874834,0.012050599,0.005679095,0.005679095,0.079227696,0.005679095,0.024766977,0.005679095,0.089214381,0.039680426,0.019107856,0.125832224,0.006331558,0.017443409,0.085219707,0.040079893,0.069906791,0.348202397,0.005679095,0.005679095,0.095206391,0.005679095,0.005679095,0.194407457,0.005679095,0.005679095,0.025965379,0.005679095,0.005679095,0.044274301,0.017643142,0.01517976,0.009320905,0.058189081,0.006404794,0.008655126,0.034354194,0.005679095,0.005679095,0.042276964,0.014980027,0.017043941,0.027962716
WCPCB_OR-POH002-20190218.1,Multnomah Channel,WCPCB_OR-POH002,2/18/19,45.6194068,-122.800134,pg/L,0.335,0.119,0.22,0.89,0.0183,0.246,0.0575,0.865,0.0613,0.0413,2.49,0.127,0.014,0.488,0.36,0.513,0.835,0.34,1.64,0.698,0.565,0.0078,0.0129,0.207,0.325,0.0923,1.36,0.343,0.00748,0.037,0.00738,0.26,0.0074,0.00763,0.615,0.33,0.0488,2.24,2.58,0.0745,0.216,0.988,0.235,2.12,0.0182,0.00875,0.383,0.0076,0.0079,0.116,0.175,1.79,0.0398,0.51,0.898,0.0247,0.728,0.02,0.0021,0.0405,0.00828,0.00795,0.00735,0.00755,0.0738,0.575,0.258,0.137,0.538,0.168,0.015,0.973,0.191,0.958,0.00498,0.0076,0.0125,0.0021,0.203,0.00305,0.0255,0.0425,0.855,0.0021,0.0021,0.0123,0.573,0.00283,0.0021,0.00445,0.011,0.0048,0.00365,0.0598,0.468,0.0278,0.00483,0.161,0.00283,0.0258,0.202,0.071,0.0218,0.0106,0.0855,0.0029,0.0283,0.0021,0.087,0.448,0.0021,0.00278,0.0021,0.483,0.0021,0.0395,0.047,0.00219,0.0021,0.00219,0.0355,0.00242,0.0143,0.00328,0.053,0.0143,0.012,0.044,0.0021,0.00793,0.0303,0.0159,0.026,0.132,0.0021,0.0021,0.0385,0.0021,0.0021,0.0855,0.0021,0.0021,0.0103,0.00229,0.0021,0.0231,0.0103,0.0139,0.00695,0.0325,0.0035,0.0101,0.0183,0.0021,0.0021,0.026,0.00395,0.0093,0.0173
WCPCB_OR-POH003-20180822.1,Willamette River at Kingsley Community Garden,WCPCB_OR-POH003,8/22/18,45.6068885,-122.7841601,pg/L,1.1425,0.2115,0.385,15.85,0.11675,1.145,0.4375,4.975,0.3375,0.9175,11.5,0.3425,0.033,1.965,2.8,6.45,6.55,13.425,7.375,7.225,2.4925,0.0295,0.1125,2.3375,1.3475,0.9525,5.575,2.3575,0.0585,0.11425,0.03825,1.1475,0.02775,0.065,3.825,1.7575,0.3275,28.5,97,0.945,1.1475,5.9,2.95,9.675,1.27,0.014275,1.685,0.03425,0.02575,0.68,0.7675,6.375,0.17325,2.65,3.85,0.0895,16.375,0.111,0.193,0.2295,0.014075,0.0115,0.01285,0.02095,0.58,3.3,1.84,0.835,3.6,1.3375,0.0785,5.925,1.305,7.525,0.12475,0.1395,0.236,0.05125,0.97,0.01335,0.1335,0.2725,6.025,0.00945,0.00915,0.05375,2.625,0.022625,0.011825,0.04075,0.05525,0.01605,0.014975,0.4325,3.3,0.21375,0.04875,1.41,0.085,0.265,1.905,0.7525,0.09875,0.07775,0.6275,0.015975,0.1915,0.002155,0.665,4.3,0.021125,0.028,0.0116,3,0.003875,0.2115,0.265,0.02775,0.0114,0.01005,0.25,0.01255,0.082,0.012,0.2875,0.136,0.07225,0.4975,0.02035,0.07275,0.227,0.12975,0.2825,0.9125,0.007325,0.00475,0.32,0.002155,0.002155,0.76,0.002155,0.010075,0.0745,0.01485,0.002155,0.12575,0.0495,0.08575,0.0255,0.2395,0.02925,0.04975,0.159,0.002155,0.004875,0.13575,0.024475,0.059,0.04725
WCPCB_OR-POH003-20181127.1,Willamette River at Kingsley Community Garden,WCPCB_OR-POH003,11/27/18,45.6068885,-122.7841601,pg/L,1.271637816,0.323568575,0.360186418,3.009320905,0.146471372,0.464047936,0.235685752,1.870838881,0.151797603,0.140479361,6.924101198,0.362183755,0.135818908,0.818908123,1.045272969,2.017310253,1.837549933,1.451398136,2.862849534,3.209054594,1.091877497,0.032023968,0.038415446,1.225033289,0.603195739,0.111850866,2.157123835,0.998668442,0.030359521,0.095206391,0.069906791,0.464713715,0.028029294,0.028961385,1.171770972,0.571238349,0.080559254,13.58189081,58.5885486,0.234354194,0.325565912,2.490013316,0.845539281,4.327563249,0.157123835,0.014647137,0.565912117,0.013981358,0.01517976,0.203062583,0.215712383,2.58988016,0.085885486,0.818908123,1.484687084,0.038814913,15.17976032,0.013581891,0.03828229,0.111185087,0.012916112,0.031624501,0.012250333,0.012117177,0.23701731,1.617842876,0.805592543,0.35885486,1.531291611,0.607190413,0.032623169,2.749667111,0.752330226,3.135818908,0.042676431,0.047802929,0.109853529,0.019041278,0.409454061,0.008055925,0.049733688,0.123834887,2.956058589,0.00569241,0.005652463,0.02436751,1.318242344,0.016910786,0.008122503,0.010719041,0.031158455,0.007856192,0.007856192,0.181757656,1.338215712,0.092543276,0.019906791,0.515978695,0.031557923,0.109853529,0.872170439,0.262316911,0.043941411,0.027762983,0.218375499,0.005652463,0.089214381,0.005652463,0.358189081,1.910785619,0.009587217,0.007190413,0.005652463,1.55126498,0.005652463,0.093874834,0.104527297,0.019840213,0.005652463,0.005652463,0.101198402,0.005652463,0.040146471,0.005652463,0.129161119,0.055525965,0.031557923,0.199733688,0.005652463,0.026964048,0.108521971,0.050932091,0.093209055,0.450066578,0.005652463,0.005652463,0.131158455,0.005652463,0.005652463,0.316245007,0.005652463,0.005652463,0.033355526,0.005652463,0.005652463,0.112516644,0.030625832,0.071238349,0.015246338,0.144474035,0.010519308,0.03322237,0.104527297,0.005652463,0.007390146,0.157123835,0.03322237,0.060519308,0.045605859
WCPCB_OR-POH003-20190218.1,Willamette River at Kingsley Community Garden,WCPCB_OR-POH003,2/18/19,45.6068885,-122.7841601,pg/L,0.44,0.159,0.335,1.3,0.026,0.239,0.053,0.775,0.067,0.0695,2.58,0.116,0.0177,0.438,0.405,0.565,0.975,0.533,1.63,0.628,0.52,0.00825,0.0113,0.194,0.328,0.103,1.28,0.438,0.00905,0.0375,0.0119,0.241,0.00783,0.00808,0.615,0.34,0.0573,1.97,2.28,0.085,0.217,1.08,0.27,2.09,0.0263,0.00928,0.378,0.00805,0.00835,0.109,0.153,1.82,0.0408,0.515,0.955,0.0248,0.5,0.0243,0.0021,0.0458,0.00878,0.0132,0.00778,0.00788,0.076,0.6,0.245,0.148,0.57,0.178,0.0115,1.07,0.215,1.02,0.0101,0.0116,0.0157,0.0021,0.203,0.0032,0.0298,0.0503,0.925,0.0021,0.0021,0.00988,0.64,0.00515,0.0021,0.0043,0.0195,0.00483,0.00383,0.0733,0.63,0.0413,0.00803,0.177,0.0189,0.0348,0.265,0.076,0.0258,0.0122,0.109,0.0021,0.0283,0.0021,0.12,0.555,0.0021,0.0021,0.0021,0.603,0.0021,0.0468,0.053,0.004,0.0021,0.0021,0.046,0.0021,0.0222,0.00273,0.0748,0.018,0.0185,0.0643,0.00403,0.00933,0.0355,0.0268,0.03,0.234,0.0021,0.0021,0.0468,0.0021,0.0021,0.133,0.0021,0.00668,0.0181,0.003,0.0021,0.0758,0.0243,0.027,0.0132,0.104,0.00525,0.0111,0.062,0.0021,0.00575,0.0775,0.0153,0.0255,0.0375
WCPCB_OR-POH004-20180823.1,Willamette River at south Burlington Northern Railroad Bridge 5.1,WCPCB_OR-POH004,8/23/18,45.5759428,-122.7451604,pg/L,1.201096437,0.184649888,0.378769001,15.62422128,0.097931722,0.862197857,0.33889858,3.688013955,0.266633441,0.88711687,8.721654622,0.279092948,0.026663344,1.305756292,2.24520309,6.279591328,5.606777972,15.12584102,4.535260404,5.35758784,1.612260154,0.01741839,0.090456018,2.105656616,1.001744331,1.123847496,3.613256915,2.432095689,0.05681535,0.05731373,0.015325193,0.682780962,0.01642163,0.070769998,2.840767506,1.308248193,0.17069524,24.09668577,79.74084226,0.742586594,0.787440817,5.108397707,3.139795664,8.347869424,1.497632694,0.020358834,1.402940444,0.018714179,0.02172938,0.515823573,0.66035385,4.958883628,0.141789185,2.005980563,3.139795664,0.060553202,9.269872913,0.108896088,0.156740593,0.216546225,0.020059806,0.125841017,0.018290556,0.015574383,0.503364067,3.040119611,1.749314727,0.784948916,3.314228757,1.345626713,0.068776476,5.681535011,1.255918266,7.201594817,0.154497882,0.159730875,0.269125343,0.057562921,0.844754548,0.007376028,0.106653377,0.254173935,5.382506853,0.010690257,0.006279591,0.050834787,2.317468228,0.030650386,0.012285074,0.034139048,0.043608273,0.00884625,0.008298031,0.401196113,3.563418889,0.194119113,0.031896337,1.360578121,0.096187391,0.247694991,2.108148517,0.824819337,0.086967356,0.073760279,0.613007725,0.012733616,0.217542985,0.0021231,0.740094692,4.410665338,0.025417393,0.030401196,0.016247197,3.065038624,0.005457264,0.189633691,0.261649639,0.027909295,0.008945926,0.008123598,0.243458759,0.010117119,0.070520807,0.010191876,0.346374284,0.134562671,0.074507849,0.493396462,0.020333915,0.07600299,0.20782457,0.135061052,0.331422876,1.039122851,0.007874408,0.002616496,0.363817593,0.002741091,0.0021231,0.779965113,0.0021231,0.011487665,0.068527286,0.014353352,0.002434588,0.108646898,0.058808871,0.066782955,0.029653626,0.178170944,0.024570147,0.047595315,0.105656616,0.0021231,0.006952405,0.064789434,0.01440319,0.027909295,0.045850984
